,id,date,likes,retweet,reply,tweet
0,1323914087340781569,2020-11-04 09:04:50+00:00,420435,42013,36796,KANYE 2024 https://t.co/Zm2pKcn12t
1,1323730046125699072,2020-11-03 20:53:31+00:00,220999,8199,8721,I VOTED 🇺🇸 https://t.co/hlgIJUST4x
2,1323729643828989953,2020-11-03 20:51:55+00:00,89995,3134,3592,KANYE2020 🇺🇸 https://t.co/3kd8vrrHZQ
3,1323729368594575361,2020-11-03 20:50:49+00:00,70659,2062,2960,🕊 https://t.co/tFqpKyQzkY
4,1323727338387902465,2020-11-03 20:42:45+00:00,78800,3748,7570,The first vote of my life         We are here to serve      We pray for every servant leader in the world  🕊 https://t.co/UWSrKslCt1
5,1323726544997474304,2020-11-03 20:39:36+00:00,44147,2371,3466,KEEP BELIEVING KANYE 2020    Thank you Jesus Christ https://t.co/OgFDGOCAOp
6,1323643421601378306,2020-11-03 15:09:18+00:00,48602,2570,2279,Favs https://t.co/0oO13dEviF
7,1323641361216626691,2020-11-03 15:01:07+00:00,52536,7890,1003,We will heal. We will cure.
8,1323641120778145792,2020-11-03 15:00:09+00:00,190312,18733,7732,"God is so good 😊 Today I am voting for the first time in my life for the President of the United States, and it's for someone I truly trust...me. 🇺🇸 🕊"
9,1323640310321176577,2020-11-03 14:56:56+00:00,65049,3853,602,I channel Will Ferrel when I’m at the daddy daughter dances
10,1323638153907900416,2020-11-03 14:48:22+00:00,124175,24541,1506,Life is the ultimate gift
11,1323479840121450497,2020-11-03 04:19:17+00:00,89457,9176,6090,So many of us need so much less than we have especially when so many of us are in need
12,1323479605970259972,2020-11-03 04:18:21+00:00,66345,9673,927,I hear people say ... this person is cool and this person is not cool... people are cool... man has never invented anything as awesome as a an actual person but sometimes we value the objects we create over life itself
13,1323479125814771714,2020-11-03 04:16:27+00:00,46632,3185,1231,I was just speaking with someone that told me their life story and they used to be homeless      We must and will cure homelessness and hunger   We have the capability as a species
14,1323477087194210305,2020-11-03 04:08:21+00:00,32702,3188,611,We as a people will heal. We will insure the well being of each other
15,1323476950489341953,2020-11-03 04:07:48+00:00,63131,4835,2027,There are people sleeping in parking lots
16,1323476766439038976,2020-11-03 04:07:04+00:00,68352,4459,2333,We will cure hunger
17,1323077633802817537,2020-11-02 01:41:04+00:00,248813,17783,2783,The Weekend as The Nutty Professor was hands down the best costume this Halloween ⛷ https://t.co/6he1adovRY
18,1322353987404800000,2020-10-31 01:45:33+00:00,21402,1242,1827,Praise God. Thank you so much #DoveAwards       God continues to send encouragement      Good is winning     Things are changing     Praise God https://t.co/OYU12hBWX8
19,1322324911738642432,2020-10-30 23:50:01+00:00,66936,3623,2360,How it’s going 🇺🇸 https://t.co/ayol8Sf0OR
20,1322324767571992576,2020-10-30 23:49:26+00:00,63822,3874,2253,How the day started 🙃 https://t.co/UyQUWqd2mT
21,1322298679919693824,2020-10-30 22:05:47+00:00,76357,4107,2119,THE ROCK IS STILL ALIVE https://t.co/gvChkbcsQj
22,1322284560361558016,2020-10-30 21:09:40+00:00,76332,4309,2159,2020 VISION 🇺🇸 https://t.co/Usl1fppN4r
23,1322282733683372033,2020-10-30 21:02:25+00:00,21573,854,1686,Dear Future started as an op-ed and turned into a VISION PRAYER 🕊 https://t.co/hN8Zhz5EUp
24,1322252393036197889,2020-10-30 19:01:51+00:00,17019,925,1639,"DEAR FUTURE, I STILL BELIEVE IN YOU      PRINTED IN THE NEW YORK TIMES THIS MORNING     https://t.co/3hGgcjHzRE https://t.co/7tlMR2wa0q"
25,1322242112688058368,2020-10-30 18:21:00+00:00,22609,2384,1790,https://t.co/3hGgcjHzRE https://t.co/l1BJySj4TK
26,1321928365570359297,2020-10-29 21:34:17+00:00,91647,12709,1505,EMPATHY IS THE GLUE
27,1321875427065913345,2020-10-29 18:03:55+00:00,123954,18250,3620,NAH NAH NAH REMIX DABABY &amp; 2CHAINZ https://t.co/I0gaZJ0ft7
28,1321682274149048320,2020-10-29 05:16:24+00:00,39242,3199,2450,"DEAR FUTURE, I STILL BELIEVE IN YOU     YEEZY CHRISTIAN ACADEMY https://t.co/GIlTHSCLJU"
29,1321514828469469184,2020-10-28 18:11:02+00:00,54258,6420,2544,We will heal https://t.co/pliy0PJQ9j
30,1321298286964314117,2020-10-28 03:50:34+00:00,16265,723,2142,EVERYDAY    JOEL’S NEW SERMONS ARE SUPER UPLIFTING AND INSPIRING      PRAISE GOD FOR THE MOTIVATION        JESUS STAYS WINNING https://t.co/gitP0B2MJA
31,1321279343843180544,2020-10-28 02:35:18+00:00,49564,1677,633,Halloween coming 💀 https://t.co/4JaQA5YfYn
32,1321237125040197632,2020-10-27 23:47:32+00:00,66361,2385,4835,🤔 I was at 31 million followers 4 weeks ago and now I’ve been held at 30.9 million followers for the last 4 weeks 🤔🤔🤔 https://t.co/AV51hzh8bn
33,1321137260406865920,2020-10-27 17:10:43+00:00,53421,4038,1696,"Just to be CLEAR: WE ARE IN ENGAGED WITH HAITI’s GOVERNMENT  to make a transformational INVESTMENT to bring  JOBS,  DEVELOPMENT, HELP SUPPORT LOCAL  FARMERS and FISHERMEN and Build a  new « CITY OF THE FUTURE » in a very beautiful country."
34,1320769177116798977,2020-10-26 16:48:05+00:00,30071,1370,657,Some Monday morning joy at YEEZY CHRISTIAN ACADEMY https://t.co/W23fMAazaS
35,1320057838555877380,2020-10-24 17:41:28+00:00,35619,5171,1220,https://t.co/rqKBrfNCME
36,1319853917757296640,2020-10-24 04:11:10+00:00,34870,1979,2957,WRITE IN KANYE WEST    THERE IT IS https://t.co/HiJPrUIY9e
37,1319443115107864577,2020-10-23 00:58:47+00:00,49317,5922,4373,HOW TO WRITE IN KANYE WEST https://t.co/lY4BVdTmdm
38,1319409694528634887,2020-10-22 22:45:59+00:00,19415,1612,661,GOD IS LOVE     LEADING WITH LIGHT          https://t.co/TlwzNXRTkL https://t.co/gWMLYLLiE1
39,1318966824126459904,2020-10-21 17:26:10+00:00,197299,11634,1713,Been doing empty stadiums    Happy 40th birthday!!!  I love you so much https://t.co/dCgHhzP2J8
40,1318642959160504320,2020-10-20 19:59:15+00:00,51100,6627,4124,VOTE KANYE https://t.co/sXrotfOHE3
41,1318249575174451200,2020-10-19 17:56:05+00:00,57951,4548,932,OUR BEAUTIFUL LIGHT CLEAR REALITY https://t.co/L0TCuSoSr4
42,1318073280713031680,2020-10-19 06:15:33+00:00,106463,13353,1708,DABABY TURNED THIS VERSE AROUND SO QUICK ITS INSPIRATIONAL TO SEE HOW FAST WE CAN MOVE AS A PEOPLE.   I HAD TO GIVE YALL AT LEAST A SNIPPET. https://t.co/Ap1SNAmFNK
43,1317906647726002176,2020-10-18 19:13:24+00:00,36702,1448,1464,Had to tweet the new ideas 🙈 https://t.co/rO5eyNt9wp
44,1317906276882378752,2020-10-18 19:11:56+00:00,10719,524,241,Food tasting at YCA    new menu going yaezeeeeeeeer https://t.co/qI3tfzjMwJ
45,1317905971318976513,2020-10-18 19:10:43+00:00,10960,653,338,GOD SAVE AMERICA https://t.co/1zDEZA3GhO
46,1317903187420925952,2020-10-18 18:59:39+00:00,19436,2277,711,The forces that our for you are greater than the forces coming against you - Joel Olsteen
47,1317900752950456320,2020-10-18 18:49:59+00:00,113072,6446,1288,👀 https://t.co/WBO5Bg1Da0
48,1317896663801888768,2020-10-18 18:33:44+00:00,8909,734,308,"Pro-“LIFE”- eration, redemption, reparation, (attaching new tissue organically, rebuilding
Maturation:
     -  the scab over the wound, this is when you KNOW you are healed, better than ever, thicker, stronger, more fortified"
49,1317896540967505920,2020-10-18 18:33:15+00:00,11715,1261,229,"Stages of Healing:

The Wound: 
- acknowledging adverse impacts (societal, mental, physical, economic)
Inflammation:
    -   Analogy of white blood cell    (protectors) rushing to the site of injury, fortification, rallying in support
Proliferation"
50,1317896118009696256,2020-10-18 18:31:34+00:00,24266,3229,405,"H.E.A.L 
HOLDING EVERYBODY ACCOUNTABLE for LOVE ! -M1"
51,1317892716542316545,2020-10-18 18:18:03+00:00,167369,17010,2396,I spoke to Dave Chapelle for two hours this morning.    He is our modern day Socrates
52,1317861386198818816,2020-10-18 16:13:33+00:00,62446,6513,581,Jaden Smith Cool Tape Volume 3     I was driving this morning and saw this poster           I’m so proud of this man.  He’s one of my favorite artist and people      The world needs more super heroes like this https://t.co/8pUGn0WTGV
53,1317819037036941313,2020-10-18 13:25:16+00:00,16618,1065,1542,Ive always said SNL uses black people to hold other black people back         My heart goes out to Issa Rae    I’m praying for her and her family     I know that the twenty years of service that I’ve paid in the entertainment field has furthered our ability to be more successful https://t.co/kExwUVVsqv
54,1317626330289262592,2020-10-18 00:39:32+00:00,113082,11748,9228,WRITE IN KANYE WEST https://t.co/0y1dgKth8Q
55,1317587213199265797,2020-10-17 22:04:05+00:00,197703,32679,4445,My memories are from the future
56,1317550429895622657,2020-10-17 19:37:56+00:00,196531,17627,2035,Joe Rogan said it’s cool for me to design the set for our podcast this Friday ⛷ https://t.co/9FOPjU36K3
57,1317484275638435841,2020-10-17 15:15:03+00:00,49592,4859,1124,IF I WOULD PUT MYSELF IN HARMS WAY TO GET MY MASTERS   THEY WOULD PUT THEMSELVES IN HARMS WAY TO STAY THE MASTER
58,1317206250774515712,2020-10-16 20:50:17+00:00,27263,2409,684,Ideas happen twice   Once in your head    Once in reality  -BUJU BANTON         YEEZY IS SIMPLY A MIX OF HYPE WILLIAMS AND GEORGE LUCAS        they set the ideas in my head and now YEEZY is bringing these ideas to our physical real world in service to God
59,1317130827621421059,2020-10-16 15:50:35+00:00,11647,1013,842,TODAY IS THE FIRST DAY OF EARLY VOTING IN LOUISIANA.   VOTE KANYE https://t.co/6A9toADSYq
60,1317130040551919623,2020-10-16 15:47:27+00:00,29925,2707,2596,I’M OFFICIALLY A WRITE-IN CANDIDATE IN THE STATE OF MARYLAND.  VOTE KANYE.    https://t.co/VVESmi75wN
61,1317129798809014283,2020-10-16 15:46:29+00:00,13953,1202,539,"The Town Halls last night showed two different sides of America. It’s time for healing.

“He himself bore our sins” in his body on the cross, so that we might die to sins and live for righteousness; “by his wounds you have been healed.” 1 Peter 2:24"
62,1316741623682871297,2020-10-15 14:04:01+00:00,42348,3753,1025,Thank God for the favor the increase and these YEEZY SLIIIIIIIDZZZZ ⛷ thank Billboard awards for the 9 nominations and 4 wins.  Invite me next time and I’ll pull up https://t.co/ZiqIIwI6Wp
63,1316711254283694085,2020-10-15 12:03:20+00:00,43071,2041,466,https://t.co/nEOd6Auz17
64,1316710875823255554,2020-10-15 12:01:50+00:00,6133,335,203,https://t.co/PooGVJfmoi
65,1316562141739089920,2020-10-15 02:10:49+00:00,46193,3367,1190,Love this game https://t.co/JiB3lKfbIQ
66,1316434065613115392,2020-10-14 17:41:54+00:00,13721,945,400,https://t.co/itT4uCNs8b         Praise God 🙏🏾 https://t.co/qsrv78ZFL9
67,1316389610180751364,2020-10-14 14:45:15+00:00,24244,2129,952,https://t.co/QVUnkXOlO5
68,1316386535592337408,2020-10-14 14:33:02+00:00,11816,1821,677,https://t.co/DRlix9mjvB
69,1316385689462870016,2020-10-14 14:29:40+00:00,23967,2655,779,"At least 600 are reported dead as of yesterday in the conflict 

Deaths mount in Armenia-Azerbaijan clashes amid truce calls"
70,1316248318717030400,2020-10-14 05:23:48+00:00,91951,16362,2459,THE WHOLE TEAM IS SO ENERGIZED THAT I HAD TO RELEASE THEME MUSIC     NAH NAH NAH https://t.co/p3NhTV11cN
71,1316238200864563200,2020-10-14 04:43:36+00:00,50609,1955,701,My friend Eli’s hoodie       Love this https://t.co/75akNRvUr0
